federal_state,administrative_district,district,verb,municipality,city,postal_code,area_m2,total_population,male_population,female_population,population_density_km2,municipality_type,rental_level,average_price_m2,price_index_housing_costs,longitude,latitude,Population_Difference,male_to_female_ratio
5,9,74,28,28,Lippstadt,59555,113.68,68890,33938,34952,606,0.5,1.0,2402.6973102036936,110.4,8.346206,51.674054,-1014,0.9709887846189059
8,1,36,5001,88,Aalen,73430,146.58,68816,34232,34584,469,0.5,3.0,3164.5,109.5,10.092337,48.835057,-352,0.989821882951654
5,1,70,8,8,Dinslaken,46535,47.66,67762,32721,35041,1422,0.5,3.0,3484.6821583030323,110.4,6.734967,51.562266,-2320,0.9337918438400731
5,7,58,12,12,Herford,32052,79.15,67459,33076,34383,852,0.5,3.0,2188.5,110.4,8.673516,52.115598,-1307,0.9619870284733735
6,4,33,12,12,Rüsselsheim am Main,65428,58.29,67277,33658,33619,1154,0.5,3.0,3259.152127420879,109.8,8.411404,49.994936,39,1.001160058300366
5,3,62,32,32,Kerpen,50171,113.98,67239,33055,34184,590,0.5,2.0,2764.5,110.4,6.694948,50.869982,-1129,0.96697285279663
7,1,38,45,45,Neuwied,56564,86.5,65986,32428,33558,763,0.5,5.0,3123.136975520225,109.8,7.459692,50.429018,-1130,0.9663269563144407
16,0,55,0,0,Weimar,99423,84.47,65620,31624,33996,777,0.5,4.0,2798.0,110.9,11.329741,50.980761,-2372,0.9302270855394752
5,1,62,4,4,Dormagen,41539,85.5,65147,32375,32772,762,0.5,2.0,3263.0,110.4,6.841963,51.093432,-397,0.9878860002441108
8,1,15,45,45,Sindelfingen,71063,50.83,64995,32342,32653,1279,0.5,2.0,3565.3946879301366,109.5,9.002211,48.709831,-311,0.9904756071417634
14,5,23,320,320,Plauen,8523,102.11,64763,31519,33244,634,0.5,4.0,1996.0862438723489,110.3,12.135285,50.496039,-1725,0.9481109373119961
5,1,62,8,8,Grevenbroich,41515,102.42,64596,31114,33482,631,0.5,2.0,2568.0,110.4,6.583331,51.091192,-2368,0.9292754315751747
9,1,63,0,0,Rosenheim,83022,37.22,64403,31922,32481,1730,0.5,2.0,3863.278072733723,110.5,12.128932,47.856358,-559,0.9827899387334134
13,0,71,107,107,Neubrandenburg,17033,86.12,63989,30896,33093,743,0.5,4.0,2290.2046132348623,111.0,13.25996,53.557345,-2197,0.9336113377451425
8,4,35,5002,16,Friedrichshafen,88045,69.93,62932,31068,31864,900,0.5,2.0,4491.5,109.5,9.479614,47.652205,-796,0.9750188300276174
5,5,62,20,20,Herten,45699,37.33,62473,30445,32028,1674,0.5,2.0,3402.689734253363,110.4,7.140236,51.59465,-1583,0.9505744973148496
5,3,62,8,8,Bergheim,50126,96.34,62376,30438,31938,647,0.5,3.0,2355.5,110.4,6.640252,50.955113,-1500,0.9530340033815518
8,1,36,5007,65,Schwäbisch Gmünd,73525,113.81,62325,30279,32046,548,0.5,1.0,2993.402263880467,109.5,9.796508,48.802384,-1767,0.9448605130125445
8,3,17,5010,96,Offenburg,77652,78.37,61670,30387,31283,787,0.5,1.0,3223.0,109.5,7.944214,48.469474,-896,0.9713582456925487
3,2,41,5,5,Garbsen,30827,79.49,61349,29828,31521,772,0.5,3.0,2708.328804381599,110.0,9.600191,52.426344,-1693,0.9462897750705879
5,1,70,48,48,Wesel,46483,122.56,61330,29727,31603,500,0.5,3.0,2135.0,110.4,6.617306,51.65733,-1876,0.9406385469733886
9,7,75,135,135,Neu-Ulm,89231,80.95,61043,30274,30769,754,0.5,4.0,3037.262920833069,110.5,9.998683,48.392999,-495,0.983912379342845
5,3,62,28,28,Hürth,50354,51.22,60969,29739,31230,1190,0.5,2.0,3112.689734253363,110.4,6.865451,50.869481,-1491,0.9522574447646494
5,9,78,36,36,Unna,59423,88.56,60892,29785,31107,688,0.5,3.0,2292.0,110.4,7.689932,51.534878,-1322,0.9575015269874948
5,1,58,20,20,Langenfeld (Rheinland),40764,41.15,59783,28983,30800,1453,0.5,3.0,3366.6821583030323,110.4,6.948927,51.107416,-1817,0.9410064935064935
5,3,66,16,16,Euskirchen,53879,139.49,59772,29501,30271,429,0.5,3.0,2469.0,110.4,6.786098,50.660933,-770,0.9745631132106637
13,0,75,39,39,Greifswald,17489,50.81,59691,28334,31357,1175,0.5,1.0,2590.227341085847,111.0,13.379627,54.09581,-3023,0.9035940938227509
13,0,73,88,88,Stralsund,18439,54.59,59363,28778,30585,1087,0.5,4.0,2614.2046132348623,111.0,13.089973,54.313975,-1807,0.9409187510217427
8,1,17,5005,26,Göppingen,73033,59.21,59053,29350,29703,997,0.5,2.0,3253.3946879301366,109.5,9.653964,48.703267,-353,0.9881156785509881
12,0,53,0,0,Frankfurt (Oder),15230,147.85,58230,28223,30007,394,0.5,1.0,2081.0,110.7,14.551151,52.344651,-1784,0.9405472056520146
3,2,52,6,6,Hameln,31785,102.53,57905,27598,30307,565,0.5,2.0,2598.33638033193,110.0,9.356316,52.104402,-2709,0.910614709473059
5,1,62,22,22,Meerbusch,40667,64.4,57422,27460,29962,892,0.5,3.0,4350.0,110.4,6.688437,51.265845,-2502,0.9164942260196248
8,2,11,0,0,Baden-Baden,76530,140.19,57025,27240,29785,407,0.5,3.0,4051.5,109.5,8.239951,48.761794,-2545,0.9145543058586537
14,6,26,110,110,Görlitz,2826,67.53,56574,27133,29441,838,0.5,2.0,1436.5,110.3,14.988035,51.155287,-2308,0.9216059237118305
3,4,54,32,32,Lingen (Ems),49809,176.19,56542,28135,28407,321,0.5,1.0,2297.3439562822605,110.0,7.316682,52.522295,-272,0.990424895272292
5,3,34,32,32,Stolberg (Rhld.),52222,98.48,56455,27891,28564,573,0.5,3.0,2394.6821583030323,110.4,6.223585,50.776783,-673,0.9764388741072679
5,3,82,56,56,Sankt Augustin,53757,34.22,56369,27581,28788,1647,0.5,4.0,3225.5,110.4,7.185259,50.77333,-1207,0.9580728081144921
8,1,19,79,79,Waiblingen,71332,42.75,56081,27403,28678,1312,0.5,2.0,3698.3946879301366,109.5,9.314525,48.83001,-1275,0.9555408326940512
5,3,34,12,12,Eschweiler,52249,75.75,56049,27521,28528,740,0.5,1.0,2178.5,110.4,6.266781,50.817431,-1007,0.9647013460459899
5,1,58,16,16,Hilden,40721,25.95,55815,26856,28959,2151,0.5,3.0,3993.6821583030323,110.4,6.933705,51.168245,-2103,0.9273800890914742
5,3,62,36,36,Pulheim,50259,72.15,55530,26755,28775,770,0.5,4.0,3842.0,110.4,6.800707,50.998416,-2020,0.9298001737619461
3,2,41,10,10,Langenhagen,30853,71.97,55367,27293,28074,769,0.5,4.0,2718.321228431276,110.0,9.734278,52.438469,-781,0.9721806653843413
3,4,56,15,15,Nordhorn,48529,149.86,55242,27191,28051,369,0.5,1.0,2069.0,110.0,7.071263,52.435804,-860,0.9693415564507504
6,4,34,1,1,Bad Homburg v. d. Höhe,61348,51.14,54996,26001,28995,1075,0.5,3.0,3311.152127420879,109.8,8.61299,50.228406,-2994,0.8967408173823073
5,7,66,8,8,Bad Salzuflen,32105,100.05,54808,26458,28350,548,0.5,5.0,2333.6670064023783,110.4,8.747019,52.084067,-1892,0.9332627865961199
9,6,62,0,0,Schweinfurt,97421,35.7,54675,27041,27634,1532,0.5,4.0,2752.5,110.5,10.230301,50.045505,-593,0.9785409278425129
5,9,54,16,16,Hattingen,45525,71.67,54637,26501,28136,762,0.5,2.0,2371.689734253363,110.4,7.184107,51.399035,-1635,0.9418893943702019
6,5,32,23,23,Wetzlar,35578,75.65,54187,26305,27882,716,0.5,5.0,2459.0,109.8,8.501069,50.554439,-1577,0.9434402123233627
